Name,ObstacleDensity,FoundSolution,TotalNodes,NodesVisited,PercentVisited,SolutionDistance,SolutionTime,MapWidthResolution,MapGenTime
Dijkstra's,Sparse,false,190969,31743,1.000000,30.090925,5.001000,437,0.283000
Dijkstra's,Sparse,false,430336,31861,1.000000,16.044935,5.001000,656,0.636000
Dijkstra's,Dense,true,100,81,1.000000,104.852814,0.000000,10,0.001000
Dijkstra's,Dense,true,121,114,1.000000,108.177223,0.000000,11,0.000000
Dijkstra's,Dense,true,289,259,1.000000,103.272636,0.001000,17,0.000000
Dijkstra's,Dense,true,625,560,1.000000,106.509651,0.002000,25,0.002000
Dijkstra's,Dense,true,1444,1275,1.000000,105.108185,0.009000,38,0.003000
Dijkstra's,Dense,true,3249,2829,1.000000,103.353867,0.043000,57,0.008000
Dijkstra's,Dense,true,7396,6408,1.000000,103.716202,0.207000,86,0.019000
Dijkstra's,Dense,true,16641,14324,1.000000,102.298874,1.032000,129,0.043000
Dijkstra's,Dense,false,37636,31523,1.000000,98.774376,5.001000,194,0.097000
Dijkstra's,Dense,false,84681,31718,1.000000,57.347912,5.001000,291,0.214000
Dijkstra's,Dense,false,190969,31677,1.000000,30.976522,5.001000,437,0.493000
Dijkstra's,Dense,false,430336,31894,1.000000,16.559059,5.001000,656,1.103000
Dijkstra's,Wall,true,100,85,1.000000,142.426407,0.000000,10,0.001000
Dijkstra's,Wall,true,121,103,1.000000,147.660370,0.000000,11,0.000000
Dijkstra's,Wall,true,289,249,1.000000,139.157990,0.001000,17,0.001000
Dijkstra's,Wall,true,625,527,1.000000,143.597992,0.001000,25,0.002000
Dijkstra's,Wall,true,1444,1220,1.000000,142.479263,0.008000,38,0.004000
Dijkstra's,Wall,true,3249,2729,1.000000,139.998291,0.038000,57,0.009000
Dijkstra's,Wall,true,7396,6194,1.000000,139.865387,0.193000,86,0.022000
Dijkstra's,Wall,true,16641,13889,1.000000,138.314880,0.978000,129,0.050000
Dijkstra's,Wall,true,37636,31406,1.000000,138.385620,4.956000,194,0.114000
Dijkstra's,Wall,false,84681,31712,1.000000,52.923470,5.001000,291,0.250000
Dijkstra's,Wall,false,190969,31692,1.000000,29.571003,5.001000,437,0.569000
Dijkstra's,Wall,false,430336,32008,1.000000,16.088266,5.001000,656,1.289000
Dijkstra's,NoSolution,false,100,66,1.000000,84.142136,0.000000,10,0.000000
Dijkstra's,NoSolution,false,121,78,1.000000,85.583755,0.000000,11,0.001000
Dijkstra's,NoSolution,false,289,187,1.000000,87.226044,0.000000,17,0.001000
Dijkstra's,NoSolution,false,625,398,1.000000,88.970558,0.001000,25,0.002000
Dijkstra's,NoSolution,false,1444,925,1.000000,89.660698,0.005000,38,0.004000
Dijkstra's,NoSolution,false,3249,2080,1.000000,90.024094,0.023000,57,0.011000
Dijkstra's,NoSolution,false,7396,4738,1.000000,90.663437,0.113000,86,0.025000
Dijkstra's,NoSolution,false,16641,10656,1.000000,90.596901,0.582000,129,0.054000
Dijkstra's,NoSolution,false,37636,24120,1.000000,90.727943,2.958000,194,0.120000
